Car,Model,Mode,Driven (km),Fuel,Horse Power,Location,Price (Rs : lacs)
Daihatsu Move  2020 X SA 2 ,2020,Automatic,"17,000",Petrol,658,Lahore,PKR 37.5 lacs
Suzuki Wagon R  2020 Hybrid FX ,2020,Automatic,"23,000",Hybrid,660,Lahore,PKR 36.9 lacs
Honda Vezel  2018 Hybrid RS Honda Sensing  ,2018,Automatic,"39,000",Petrol,1500,Lahore,PKR 79 lacs
Toyota Coro,2023,Automatic,"7,000",Diesel,2800,Lahore,PKR 2.1 crore
Mercedes Benz C Cl,2016,Automatic,"48,000",Hybrid,3000,Lahore,PKR 3 crore
Honda Ci,2019,Automatic,"125,000",Petrol,1800,Lahore,PKR 55.5 lacs
Suzuki Wago,2021,Manual,"33,000",Petrol,660,Lahore,PKR 24 lacs
Hyundai Tuc,2020,Automatic,"82,000",Petrol,2700,Lahore,PKR 1.3 crore
Toyota Corolla A,1996,Automatic,"180,000",Petrol,4000,Lahore,PKR 19.99 lacs
KIA Sport,2017,Manual,"105,898",Petrol,1000,Lahore,PKR 20.99 lacs
Toyota V,2017,Automatic,"89,790",Petrol,1800,Lahore,PKR 1.33 crore
MG,2023,Automatic,"3,000",Hybrid,1600,Lahore,PKR 1.49 crore
Toyota Fortuner  2023 GR-S ,2016,Manual,"60,300",Petrol,1000,Lahore,PKR 16.5 lacs
Porsche Cayenne  2016 S E-Hybrid ,2013,Manual,"88,680",Petrol,1300,Lahore,PKR 25.25 lacs
Honda Civic  2019 Oriel 1.8 i-VTEC CVT ,2018,Automatic,"85,000",Hybrid,2000,Lahore,PKR 73 lacs
Suzuki Alto  2021 VXR ,2020,Automatic,"39,000",Petrol,996,Lahore,PKR 61 lacs
Toyota Fortuner  2020 2.7 VVTi ,2023,Automatic,200,Petrol,660,Lahore,PKR 29 lacs
Jeep Cherokee  1996  ,2017,Automatic,"150,000",Petrol,660,Lahore,PKR 22 lacs
Suzuki Wagon R  2017 VXL ,1997,Manual,"54,304",Petrol,800,Lahore,PKR 3.95 lacs
Audi A6  2017 1.8 TFSI Business Class Edition ,2006,Manual,"70,000",Petrol,800,Lahore,PKR 7.1 lacs
Hyundai Santa Fe  2023 Signature ,2016,Automatic,"90,000",Petrol,1800,Lahore,PKR 46.5 lacs
Suzuki Cultus  2016 EURO II ,2022,Automatic,"69,000",Petrol,2000,Lahore,PKR 65.5 lacs
Honda City 5th Generation 2013 1.3 i-VTEC ,2014,Manual,"94,000",Petrol,1000,Lahore,PKR 14.95 lacs
Nissan Serena  2018 HIGHWAY STAR ,1993,Automatic,"147,000",Petrol,4500,Lahore,PKR 55 lacs
Toyota Raize  2020 Z ,2022,Manual,"2,408",Petrol,1000,Lahore,PKR 34.5 lacs
Suzuki Alto  2023 VXL AGS ,2019,Automatic,"13,100",Petrol,1400,Lahore,PKR 1.92 crore
Suzuki Wagon R  2017 Stingray T ,2006,Manual,"57,000",Petrol,800,Lahore,PKR 6.25 lacs
Suzuki Mehran  1997 VX ,2021,Automatic,"60,000",Petrol,2000,Lahore,PKR 69.5 lacs
Suzuki Mehran  2006 VXR ,2018,Automatic,"56,000",Petrol,996,Lahore,PKR 40.5 lacs
Honda Civic  2016 VTi Oriel Prosmatec 1.8 i-VTEC ,2017,Automatic,"129,500",Petrol,660,Lahore,PKR 25.5 lacs
KIA Sportage  2022 Alpha ,2021,Automatic,"35,000",Petrol,1500,Lahore,PKR 42.5 lacs
Suzuki Cultus  2014 EURO II ,2013,Automatic,"81,000",Petrol,4600,Lahore,PKR 3.1 crore
Toyota Land Cruiser 80 Series 1993 VX Limited 4.5 ,2019,Automatic,"28,000",Petrol,2700,Lahore,PKR 3 crore
Suzuki Cultus  2022 VXR ,2019,Automatic,"41,000",Petrol,1800,Lahore,PKR 56.5 lacs
Audi A5  2019 1.4 TFSI Sportback ,2021,Automatic,"34,000",Petrol,2400,Lahore,PKR 82 lacs
Suzuki Mehran  2006 VXR ,2020,Automatic,"36,000",Hybrid,1800,Lahore,PKR 1.08 crore
KIA Sportage  2021 FWD ,2018,Automatic,"35,243",Petrol,2700,Lahore,PKR 2.8 crore
Toyota Vitz  2018 F M Package 1.0 ,2006,Automatic,"103,000",Petrol,1000,Lahore,PKR 18.99 lacs
Daihatsu Move  2017  ,2015,Automatic,"75,000",Petrol,3000,Lahore,PKR 4.5 crore
Honda City 5th Generation 2021 Aspire Prosmatec 1.5 i-VTEC ,2023,Automatic,"15,000",Petrol,2000,Lahore,PKR 68.45 lacs
Toyota Land Cruiser  2013 ZX ,2022,Automatic,"17,000",Diesel,2800,Lahore,PKR 1.59 crore
Toyota Prado  2019 TX L Package 2.7 ,2018,Automatic,"33,000",Petrol,2000,Lahore,PKR 2.75 crore
Toyota Coro,1995,Manual,"300,000",Petrol,1500,Lahore,PKR 8.25 lacs
Mercedes Benz C Cl,2007,Manual,"100,000",Petrol,1000,Lahore,PKR 9 lacs
Honda Ci,2012,Manual,"100,076",Petrol,1300,Lahore,PKR 26.4 lacs
Suzuki Wago,2020,Automatic,"82,000",Petrol,2700,Lahore,PKR 1.3 crore
Hyundai Tuc,1996,Automatic,"180,000",Petrol,4000,Lahore,PKR 19.99 lacs
Toyota Corolla A,2017,Manual,"105,898",Petrol,1000,Lahore,PKR 20.99 lacs
